,vc,bridge,knn,vip_col1,vip_col2,vip_col3,vip_col4,vip_col5,vip_col6,vip_col7,vip_col8,vip_col9,vip_col10,vip_col11,vip_col12,vip_col13,vip_col14,vip_col15,vip_col16,vip_col17,vip_col18,vip_col19,vip_col20,vip_col21,vip_col22,vip_col23,vip_col24,vip_col25,vip_col26,vip_col27,vip_col28,vip_col29,vip_col30,vip_col31,vip_col32,vip_col33,vip_col34,vip_col35,vip_col36,vip_col37,vip_col38,vip_col39,vip_col40,vip_col41,vip_col42,vip_col43,vip_col44,vip_col45,vip_col46,vip_col47,vip_col48,vip_col49,vip_col50
eta,0.0,0.0,0.0,0.0,2.0408163265306123,4.081632653061225,6.122448979591837,8.16326530612245,10.204081632653061,12.244897959183675,14.285714285714286,16.3265306122449,18.367346938775512,20.408163265306122,22.448979591836736,24.48979591836735,26.53061224489796,28.571428571428573,30.612244897959183,32.6530612244898,34.69387755102041,36.734693877551024,38.775510204081634,40.816326530612244,42.85714285714286,44.89795918367347,46.93877551020408,48.9795918367347,51.02040816326531,53.06122448979592,55.10204081632653,57.142857142857146,59.183673469387756,61.224489795918366,63.26530612244898,65.3061224489796,67.34693877551021,69.38775510204081,71.42857142857143,73.46938775510205,75.51020408163265,77.55102040816327,79.59183673469389,81.63265306122449,83.6734693877551,85.71428571428572,87.75510204081633,89.79591836734694,91.83673469387756,93.87755102040816,95.91836734693878,97.9591836734694,100.0
SIM0,0.6845354235852077,0.3230020493155211,0.016922724528633467,0.3507731863392743,0.6644062927394925,0.7242269257531391,0.7466811199875406,0.757916143596373,0.7657166577261822,0.7741687013741383,0.7784384953704606,0.7854912254607154,0.7862393675129635,0.7897527410349445,0.7918188430662546,0.7923897111838388,0.7943521035461996,0.7946386687058531,0.7981776229403046,0.7989440420070006,0.8009522591456494,0.8014737870768718,0.8036792804605806,0.8068454408839074,0.8082245608063546,0.8085543855836765,0.8091328530663703,0.8094013928787969,0.8101362042118334,0.8104373004419338,0.8116422910811164,0.8148112305036608,0.8182327764960773,0.8187424298057249,0.8189301359352837,0.8217373955901724,0.8229844286964417,0.823143873940047,0.8237571512155117,0.8241192688429414,0.8243107621939868,0.8248721087273722,0.825107516951803,0.8255161680449604,0.8257705205250742,0.8259805227769912,0.8263316222431866,0.8264209012428264,0.8267462673124159,0.827532640143925,0.827874878897193,0.8282753719747821,0.828547678194167
SIM1,0.6845354235852077,0.30499454235148094,0.006810304940917634,0.32124145607562354,0.6190697416586434,0.684771720663485,0.709165598052836,0.7270502159733443,0.7360539418930351,0.7491061593314672,0.755954356517854,0.7583693436072427,0.7618376602185118,0.7706132514074295,0.7743203741134638,0.7761721589532168,0.7789277482084024,0.7796961820648382,0.7857952510170038,0.787254616985507,0.7879067049352609,0.7904397511877969,0.7916691810847314,0.7947037490813914,0.7980049073929937,0.8000515252049707,0.8009006933084306,0.8022963652658903,0.8024658502757537,0.8025973461361329,0.8037003617202474,0.8041311150981223,0.8046547575018609,0.8050622128639445,0.8059710890986145,0.8062466070460789,0.8090978975842599,0.8097964691692726,0.8111721390044402,0.811508100320928,0.8129844474750286,0.8131587427454848,0.813533200607619,0.8136725007468186,0.8140739127644839,0.8144935116649509,0.8145290075146031,0.8147897341633407,0.8151357222056145,0.8159156915053708,0.8160392508355584,0.8186109223266956,0.8187920584399168
SIM2,0.6845354235852077,0.34912041532292576,0.014913990355193993,0.3812817182148613,0.6833874895103911,0.751979529212086,0.7814985951000288,0.8007632031531013,0.8140442222403974,0.8222871483806807,0.8284482916054184,0.8322181084358591,0.835820737173599,0.8399511629003865,0.8434240463856771,0.8456064315640119,0.8482225907740233,0.8503138574211963,0.8505927280158208,0.860033067319304,0.8628522509072502,0.8666531989257796,0.870995169729763,0.8715601937905831,0.893398639185461,0.8938891757864915,0.8949668292836409,0.8952788551353695,0.8956521883908222,0.8958889756209578,0.9086646938494842,0.9105037989478088,0.9113320281665295,0.9122845148373402,0.9126040458703878,0.9144464953090506,0.9164541797305089,0.9168193264730246,0.9168671916231329,0.920013737937677,0.9213456619867195,0.9216328776828371,0.9216348507525165,0.9232885292223282,0.9235577891014615,0.9246916468419075,0.9272860879404702,0.9275579718512087,0.9278604320515148,0.927911448431227,0.9280464368618376,0.9287696701618353,0.9289161121151359
SIM3,0.6845354235852077,0.3799984529187015,0.07067137566709332,0.4039133271511105,0.7100222455219367,0.7995901480426525,0.8233040212706496,0.8371953234596803,0.8438417321290561,0.850112127965913,0.858346699080839,0.8622216932863525,0.8638949299143599,0.8649729198515527,0.8686387821454565,0.8704794032202535,0.8843976971783258,0.886395563286148,0.8933371264252808,0.8943878823145391,0.8951687493267283,0.8971200574858552,0.8986930195938873,0.8992792024584157,0.8998088268727757,0.9006078267938447,0.9017959449857137,0.9050983024700094,0.9072770306430856,0.9090357369931809,0.9097388279195738,0.9099471853104544,0.9104603911531074,0.9106967639257819,0.9108219427395665,0.911315577670285,0.9122077588593825,0.9123062199177631,0.9123380705526422,0.9150034482268733,0.9154819596517493,0.9156913049166795,0.9159621304178013,0.9159843550332719,0.9161239302963627,0.9167937955458378,0.9185634288052321,0.9186009711440934,0.919859387517085,0.9200122037356525,0.9201777199645766,0.9204104989404794,0.9225745364457336
SIM4,0.6845354235852077,0.3077322481073086,0.047574893906606734,0.3231296787763859,0.6228480722516292,0.6830979216980266,0.7061208378521989,0.7325090363540868,0.7403364642671099,0.7500449774399732,0.7558367838612589,0.7607742311444452,0.7648492246512646,0.7803980438944186,0.7818655616165453,0.7882658271850622,0.7886340553202601,0.7919501952163457,0.7970942684032892,0.7982027451979405,0.8011251704817529,0.8033057739439428,0.8046357798712747,0.807398466342818,0.8083930096972796,0.8095040202391369,0.8124264754783481,0.8155909541705428,0.8162289714247567,0.8246571841827793,0.8255251853125383,0.8269643616706644,0.8275181063267205,0.8284990115405522,0.828788408975524,0.8337791293150105,0.8340305208560045,0.8343416596991302,0.8352381117713735,0.8398965586261435,0.8399723200854828,0.8402685953703819,0.8417263773806051,0.8420913318818205,0.8422628160689173,0.8422950148070572,0.8527633321673773,0.8529021213162415,0.8529686895484725,0.8530428134475873,0.8532575601018688,0.8534572194616313,0.8540510060123583
SIM5,0.6845354235852077,0.26899666232049374,-0.01385180253932001,0.2827197201231933,0.5622550790860027,0.6224844598012932,0.645617307144321,0.6643454287221369,0.6790811248884492,0.6837642613261685,0.6976101483342746,0.7030080147607687,0.7062951221284773,0.7075936351648932,0.7097302153772775,0.7110486165388291,0.713367920923422,0.7153946240444076,0.7167192059424938,0.7213048415344154,0.7219508565442627,0.7240644113420877,0.7248077395788931,0.7254263152892186,0.7266677863646094,0.7271793105661081,0.7321948029424817,0.7329084239332446,0.7339011216894519,0.7348051297261825,0.7349299057444647,0.7350521887910895,0.7351609432857666,0.7353349869051522,0.735408054048937,0.7355278454338134,0.7362473035730603,0.739157599566528,0.7394690689501416,0.7432814427387502,0.7436313465779935,0.744251225012779,0.7450626207551028,0.7458899398353457,0.7462876920732471,0.7464984218687003,0.7469886381160842,0.7527170879356563,0.7532147772791183,0.753547516409769,0.7540451940503041,0.754218998212709,0.754812781774912
SIM6,0.6845354235852077,0.22394938615941418,-0.039816055604780735,0.2570941941531952,0.5516477046876501,0.6093700136614376,0.6531278466368171,0.6691935515891614,0.6830697700031115,0.6937689041065905,0.7022831909302708,0.7091775413601608,0.7117536516683642,0.7149929105514404,0.7313788694411288,0.732922685496485,0.7348561744606059,0.7402398127391866,0.7479461373256593,0.7492644767140948,0.7501307178019649,0.7513369711215199,0.7520209750321436,0.754164237816225,0.754790638496242,0.7558458224759028,0.756951722557543,0.7570229813932006,0.7578976319974178,0.7582741112675497,0.7846721772060715,0.7852481216738604,0.7859731841491132,0.7866094456222028,0.787837475528338,0.7895176456409521,0.7898607007461095,0.7901069207714725,0.7904819073358479,0.7906357635261664,0.7916017334579641,0.7937130477356802,0.7938054084662567,0.7950148586018042,0.7953789366374235,0.7967829464664038,0.7988547671501374,0.7995747124777798,0.8001185416100846,0.8005159002989095,0.8007138437876018,0.8012775583154667,0.8017207762330786
SIM7,0.6845354235852077,0.3217741735532996,0.02924872091378908,0.3584290633807178,0.6636571752934614,0.7411920134713139,0.7646938545019304,0.7768286628860724,0.7846476331181998,0.7932679444573313,0.7970417014337955,0.8027678121092536,0.8104567221247693,0.8127199301878983,0.8136025146366307,0.8172529140496018,0.8181484383378931,0.8199656902745344,0.8226862730130142,0.8250425983641638,0.8259390822943646,0.8301628534402884,0.8303306897857193,0.8307219651022352,0.831313862861077,0.8314616591287433,0.8344186489698094,0.8360087054523879,0.8361082532565902,0.8365966391736696,0.8368850646034387,0.8387970338699556,0.8412567221742965,0.8417541677001106,0.8420927631194445,0.8440893212669026,0.8443785159311916,0.8463329994327311,0.8473016984573056,0.8475518816787448,0.8480774498855511,0.8481968387373825,0.8493824410390041,0.8496501728053054,0.8500065308306115,0.8503771190002728,0.8505695383527366,0.8507376487679131,0.8509653684523201,0.8511051650914969,0.8515692615837296,0.8516050277469018,0.8516728093627814
SIM8,0.6845354235852077,0.28448818421443217,-0.05010593518985452,0.300828750447042,0.5293736580204567,0.5868785357328185,0.623874718280291,0.6377606299109513,0.6465930261877036,0.6544359316067844,0.6586630734406754,0.6627764199067889,0.6670063241177159,0.6721937460780621,0.6745207583680173,0.6787414860474301,0.6801839020856404,0.6828001445209548,0.68442624423249,0.6870220246573205,0.6891229242822553,0.6898038716734363,0.6916314442672048,0.6929432660121745,0.694325872924799,0.6950238489448818,0.6974750228109543,0.6981408409180319,0.6988974774336962,0.6991700198543159,0.6994032797456474,0.6998895230475902,0.7011519278396644,0.7020228003694433,0.7025088125252058,0.7030658276618305,0.7036157766371915,0.7038999628263926,0.7048757716814816,0.7290204478073096,0.7298075794352672,0.7299314310765611,0.7311494216196198,0.7314587683156938,0.7317708616921658,0.7331398631774161,0.7333829809157686,0.733568022757455,0.7342790920546599,0.7343602940760451,0.7345208267475656,0.7347585504619425,0.7350061361528855
