,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
eta,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0
lower,0.003334129553594034,0.0035963208168712305,0.002762678067283454,0.0027366225137691763,0.0027250634593375535,0.0027164853590510804,0.002709347750445438,0.0027038309530123174,0.0026984274741479997,0.002695162382141118,0.00269042739911812,0.0026863281720531447,0.0026832979764715667,0.002679138636775739,0.0026765139908442063,0.002674490492127366,0.0026719473729913314,0.0026685368833517602,0.0026660874808721044,0.0026651375579282723,0.002662673158261476,0.002660909932117177,0.002657917399122393,0.0026562964089426114,0.002655364393529251,0.0026542155121269187,0.0026525459159080157,0.002651865836961665,0.0026510390815919055,0.0026491923539749183,0.0026482221709954916,0.0026472874621347275,0.0026455763474093753,0.0026448104323220645,0.0026442384858377964,0.0026435861459608192,0.0026430754815802496,0.0026422014339477695,0.002641656973274995,0.002640456962405141,0.002639646976658692,0.002639418582239154,0.002638942197642865,0.002637322325074761,0.0026356929865105805,0.0026342513274893353,0.0026333904396464206,0.002632877294038483,0.00263141501668785,0.00263103998105075,0.0026298130961291796,0.0026292839873842417,0.0026282242075208323,0.002627228715355571,0.002626590797471627,0.0026260978005012933,0.002624557746748407,0.002623795587864852,0.0026232289182307354,0.0026229324138450113,0.0026217902821292207,0.002621442068061883,0.0026212275530385484,0.00262078901783539,0.0026205951441483754,0.00261992259157767,0.0026194263419657793,0.002618892392363171,0.002617886820353896,0.00261770362421288,0.002616213710694679,0.0026152646395209136,0.0026146182319363395,0.0026141021244926867,0.0026134824626279063,0.0026128621984510803,0.002612207569192509,0.0026119653101918947,0.0026119653101918947,0.0026109371594492782,0.0026103894678961314,0.00260965963705236,0.002609613932044525,0.0026088053696549218,0.0026077481068925673,0.0026077481068925673,0.0026073737483400987,0.002607353545064127,0.0026071395267843536,0.002607039250480488,0.002606953678071572,0.002606902167366896,0.002605631073476285,0.002605321572984228,0.002605265926174127,0.0026051868843311155,0.002605137749417142,0.0026049859328074907,0.0026040048785193476,0.0026037958895933993,0.0026033556341976075,0.0026032826938723894,0.002602930790341744
