,vc,bridge,knn,vip_col1,vip_col2,vip_col3,vip_col4,vip_col5,vip_col6,vip_col7,vip_col8,vip_col9,vip_col10,vip_col11,vip_col12,vip_col13,vip_col14,vip_col15,vip_col16,vip_col17,vip_col18,vip_col19,vip_col20,vip_col21,vip_col22,vip_col23,vip_col24,vip_col25,vip_col26,vip_col27,vip_col28,vip_col29,vip_col30,vip_col31,vip_col32,vip_col33,vip_col34,vip_col35,vip_col36,vip_col37,vip_col38,vip_col39,vip_col40,vip_col41,vip_col42,vip_col43,vip_col44,vip_col45,vip_col46,vip_col47,vip_col48,vip_col49,vip_col50
eta,0.0,0.0,0.0,0.0,2.0408163265306123,4.081632653061225,6.122448979591837,8.16326530612245,10.204081632653061,12.244897959183675,14.285714285714286,16.3265306122449,18.367346938775512,20.408163265306122,22.448979591836736,24.48979591836735,26.53061224489796,28.571428571428573,30.612244897959183,32.6530612244898,34.69387755102041,36.734693877551024,38.775510204081634,40.816326530612244,42.85714285714286,44.89795918367347,46.93877551020408,48.9795918367347,51.02040816326531,53.06122448979592,55.10204081632653,57.142857142857146,59.183673469387756,61.224489795918366,63.26530612244898,65.3061224489796,67.34693877551021,69.38775510204081,71.42857142857143,73.46938775510205,75.51020408163265,77.55102040816327,79.59183673469389,81.63265306122449,83.6734693877551,85.71428571428572,87.75510204081633,89.79591836734694,91.83673469387756,93.87755102040816,95.91836734693878,97.9591836734694,100.0
SIM0,4.840000000000001,4.611291049387524,4.209565945460264,0.5558854580170005,1.785064002326996,2.863786941880827,3.365008171078195,3.6796456514538245,3.902061548050709,4.037376458272707,4.13644167055264,4.1821115818078205,4.265043232475003,4.301486983418028,4.324680709171656,4.354197667757931,4.387919393938134,4.410791814167896,4.437068550407646,4.44831763852205,4.4847191948755825,4.5138134433181545,4.525572034027316,4.5333864293532065,4.537716380060162,4.540140267695084,4.565270227147306,4.565317771629202,4.578377368886706,4.589040646034333,4.590011143380765,4.590225842260711,4.594788295987131,4.598105257735752,4.599255835523554,4.601705303826166,4.6075023983919445,4.62583051542877,4.634550754321768,4.634786863498934,4.641404340879691,4.642429358285779,4.64366623068025,4.644096680130533,4.646821775618134,4.647254681960143,4.647624510290651,4.660424455296347,4.66421108395997,4.66421108395997,4.667318127467916,4.669404837686905,4.6706072796379265
SIM1,4.840000000000001,4.761385849613019,4.352390795872707,0.6569406468379464,1.750448302054657,2.7940666677214865,3.387344836120258,3.730756212184837,3.964486737413371,4.108959194920992,4.2112974106638825,4.294440384318917,4.357094029177043,4.431480138181105,4.522599585901846,4.535327875995514,4.554040279166306,4.574330033566749,4.609458351549307,4.615433062588157,4.674892281043046,4.681844592246621,4.692639019090486,4.698422402166468,4.727232019854116,4.735069411858402,4.737499810000774,4.744804053545507,4.772813875846738,4.781623253698205,4.7974751209352045,4.797701119464071,4.798244513151507,4.81129744856594,4.821465161954556,4.830119128647821,4.830447857233633,4.84333750877069,4.8455903429925895,4.847423643961952,4.857914312021905,4.860190158537787,4.883722866824951,4.883992029186371,4.88622158878856,4.88622158878856,4.890398104875367,4.891165434968317,4.897593791109485,4.903780005044323,4.904054863475906,4.90470446979127,4.904982694652545
SIM2,4.840000000000001,4.869698013624315,4.342552545683921,0.4793729583045236,1.695871341149451,2.8309530309005257,3.3948673099816244,3.6794945657461233,3.9679904190224233,4.115167379767229,4.2329051337518635,4.290243549028113,4.366642063171008,4.419489481632807,4.455540870793655,4.520458926607673,4.54839399012734,4.5679746372097885,4.619495782950663,4.63640791989114,4.6618078057046635,4.666233258775619,4.674340170037392,4.699849621122354,4.721774781535962,4.7297260440654245,4.7543999513638795,4.7624220059826206,4.791385004544877,4.7970184259324045,4.7970184259324045,4.80239751255025,4.804242501982292,4.810982350536893,4.815583579047859,4.815583579047859,4.822817659627075,4.829909463935755,4.848481103253802,4.848481103253802,4.854281175368853,4.862400484188168,4.880952227829455,4.881008807555069,4.8827498295198675,4.888840397975611,4.889996748954136,4.889996748954136,4.897971353696165,4.8986977776959195,4.8986977776959195,4.904047473556932,4.904047473556932
SIM3,4.840000000000001,4.470561253075367,4.090725280601501,0.6251253275394876,1.6959532409873932,2.6917339208554036,3.217644679429634,3.523741717699827,3.763191496644819,3.904829624908205,3.983811571440352,4.033460952824349,4.0870881471094735,4.1170748731459295,4.175594241240416,4.246632450504773,4.269111993842213,4.286980496845854,4.2942647317298475,4.320096513918695,4.3487960420502825,4.351108734605531,4.359476693818616,4.390686878696357,4.450016177402494,4.454050488393479,4.4714081902451985,4.473920823841556,4.47959282170717,4.480255973841375,4.4872259278230535,4.498483121632664,4.526610199729863,4.532492709757567,4.533482969009495,4.54052663023869,4.551776378531217,4.551776378531217,4.569206509231918,4.578540653932396,4.578756664257287,4.580148453451717,4.581127567371561,4.593066638959642,4.596309449129507,4.59797288803031,4.598088901087101,4.612260816307826,4.626659167975495,4.628191785917212,4.629876698417017,4.62991177533878,4.630021509186945
SIM4,4.840000000000001,4.343358215298628,4.009000034544576,0.4596605407234556,1.6164940232543368,2.5896721852921454,3.0866878061942074,3.4129658756038976,3.584289661283454,3.7070158816933265,3.7899542311242698,3.841217824496435,3.916468569156604,3.9541189816875564,4.005180511731079,4.0626192448945275,4.0883224488193655,4.103237805149657,4.135318357467451,4.153742174764527,4.172613105318868,4.202967444045668,4.215964057904394,4.224603492716385,4.224743950949038,4.2413494627081825,4.245215053857229,4.248257479423363,4.260738332627649,4.266836932565238,4.267778092842005,4.2749704616505015,4.275942777998287,4.290665867842744,4.303790302778623,4.310690851085766,4.310977387948313,4.3159754012617055,4.316417157911858,4.322249248146773,4.3293383103281355,4.344718628334773,4.3450914705115995,4.353046808103783,4.353046808103783,4.354087473813163,4.371319567272101,4.372991383945835,4.378050765425414,4.378372553490777,4.378372553490777,4.37918138205209,4.3827625836175175
SIM5,4.840000000000001,4.802790156801728,4.293085098863276,0.4251632238482047,1.778199004379473,2.8792926968866137,3.5017738906182774,3.8296552400212294,4.075575569216211,4.173261139577494,4.239064902745835,4.30544187248795,4.375463142997019,4.438214402932608,4.460194542204304,4.514905544807611,4.535467188880199,4.547096636973715,4.557312542638547,4.578221600406468,4.585813161126303,4.622291544705284,4.624670520601756,4.631238866926578,4.651276683472724,4.659183178940201,4.665566068953197,4.665566068953197,4.691397245304097,4.700971468455276,4.727310534779973,4.728293885278654,4.733811196625654,4.738463062587938,4.758400030217803,4.774077404382955,4.778410193190784,4.782767454951402,4.784741172038292,4.785424172291704,4.788971546735519,4.790734280857125,4.795425674325607,4.79580878747085,4.796392210666896,4.816159044277433,4.825964052259469,4.828631709704535,4.832042243121854,4.832175987590748,4.832534404610131,4.837631421768178,4.839085331674135
SIM6,4.840000000000001,4.812154390067228,4.340816639651733,0.695765051383332,1.9556150328162432,3.0850374188209657,3.6055439969715417,3.9306819371645787,4.126477404865873,4.273036467423119,4.407669252464182,4.442244276863989,4.504212096981755,4.547787794924059,4.578976278578187,4.613944045227885,4.6493359404806895,4.701578121961967,4.709208016209619,4.7325517120449385,4.768631830730572,4.7787572338772515,4.786000529465826,4.807934860563478,4.822402490109032,4.844357959563956,4.844685791679533,4.846526394783478,4.846733594272646,4.851478798203042,4.851644443697408,4.851644443697408,4.859023225828375,4.859023225828375,4.863621957102037,4.881208545778292,4.886291121822079,4.886291121822079,4.886433110631582,4.896643746981323,4.899149343599238,4.904185002669091,4.9132575645951295,4.918419050479114,4.924408692633667,4.924408692633667,4.924662133173469,4.9284679527206565,4.9294897861514855,4.9294897861514855,4.930308515699504,4.930678806450864,4.935603041035319
SIM7,4.840000000000001,4.922713707884257,4.365658586911961,0.42777354299509546,1.61611919022527,2.7836989422212914,3.4545757450829617,3.8104624776285534,4.085355673139,4.213096280460666,4.328902719454259,4.3682257126990205,4.454574979802366,4.5118161427198995,4.544091507936185,4.573505128316414,4.6154866603117854,4.643422041548518,4.670728347658405,4.688139635931397,4.719280318803462,4.735634152262629,4.741292129840516,4.791182333478894,4.819044778627791,4.829991817791385,4.831796715312447,4.837447242806145,4.8440804021158925,4.852162356633737,4.854378294430732,4.8611164710653725,4.86190902318325,4.877933947150837,4.87842873685528,4.8912219668398365,4.893491659357316,4.895268523757417,4.906126296760569,4.908046286719593,4.908046286719593,4.908084772316008,4.916897034014359,4.923371159145712,4.933885067452388,4.950995932974634,4.9527452870387805,4.958779357324551,4.959454437175859,4.965583636222426,4.967484852592007,4.97399870412042,4.976743285559489
SIM8,4.840000000000001,5.1729553849365315,4.99929238214286,0.7428326633239308,2.1159236141202373,3.323257004141139,3.905538013253355,4.311464213098897,4.512098208307945,4.656347049149505,4.745451230949214,4.8395680853152685,4.91608034511038,4.9580083761626526,4.982842865720547,5.007894817436013,5.033296746858293,5.05229032166796,5.1029003086103915,5.108246357670621,5.124009719589271,5.124484768339688,5.129655467223937,5.18077962800186,5.199689850147288,5.201376425801204,5.2297010212230255,5.246581640105859,5.250568837044022,5.275157214426697,5.281488389009812,5.2878000292918355,5.2960419892144905,5.296213891010022,5.298052576291534,5.313989657867878,5.327696300361921,5.328938588667131,5.330303262655852,5.333811882620858,5.334516474084117,5.335476553734179,5.344939643670278,5.345862310940927,5.354457427495722,5.356341898600225,5.3599844229609825,5.361224119935624,5.36647677969612,5.37994439528241,5.38053206938696,5.382215369320134,5.382819124078518
SIM9,4.840000000000001,4.733146824168718,4.300779366927209,0.4411075092978444,1.5384312678528835,2.674742346883948,3.294802818981503,3.629938559257614,3.895968211310759,4.077639243489602,4.222044645586755,4.274455671254056,4.354083360300181,4.384328778211092,4.4459096989823665,4.490127134188496,4.545650420146632,4.580995210977518,4.6143323932668645,4.636826882292342,4.65835435607943,4.68109614683922,4.6912362625851305,4.707998579805054,4.738239514265052,4.756414051384996,4.771301048795402,4.782378887025188,4.792669828568807,4.794862602854661,4.807704058212154,4.82815809402072,4.829229632421841,4.839950074448945,4.867320618156076,4.867320618156076,4.886909579108478,4.888406693815599,4.898493978669172,4.901062684179356,4.901384251516671,4.901384251516671,4.905520443827772,4.913148655907105,4.914116370561985,4.914278512736013,4.918442511000621,4.918442511000621,4.922544217965487,4.923929950932324,4.925164475113031,4.9273403192755065,4.927699931117312
SIM10,4.840000000000001,4.624374409639351,4.319224722472497,0.41515208526115593,1.5774673326749251,2.6278613258578565,3.254045016328804,3.58937892817162,3.783376720728729,3.9158432528780374,4.020739105593191,4.087223850790733,4.15579751666119,4.20671020960107,4.237232200795628,4.272405477938755,4.329684062570261,4.345602037888663,4.369287134296486,4.402106026990217,4.411378077272581,4.435121167288463,4.449236786764151,4.464795565906124,4.474792000284044,4.48225799441008,4.486042095858961,4.499521757868433,4.501429995761959,4.516191964356376,4.529360379393959,4.531908849876139,4.546551253606596,4.562645912199433,4.563148226025373,4.573473000790442,4.57466246757828,4.578256381216991,4.579637130898184,4.581997815348559,4.593897643429792,4.594035944071416,4.597693245459877,4.598326169146996,4.606849307901483,4.610589385140951,4.611520922567021,4.629381331698039,4.629989979036052,4.632801760491582,4.632801760491582,4.632801760491582,4.636362100708267
SIM11,4.840000000000001,3.6909901480853304,3.214807545487057,0.43085723389080655,1.3318545731570821,2.1272693382283614,2.5719059770546373,2.8398556492110307,3.0273453165502886,3.1633434523700594,3.215783159036331,3.3056985739426854,3.3739722806588768,3.432314059277518,3.485277547975403,3.491344177235505,3.526826711817713,3.5483867088209693,3.5662504993723427,3.58924986411599,3.59473896936304,3.6147568814957474,3.6173504608295697,3.648076706850919,3.653070578932745,3.677178878257544,3.6856726853672703,3.690833140937532,3.710674294884104,3.7135679090058074,3.719758129035918,3.7280451510277954,3.7280451510277954,3.735318572915651,3.736365737303017,3.7392220838289805,3.739961529833798,3.7488840306289637,3.7530508104690465,3.795421853274794,3.7955169637411177,3.8019868039776776,3.8023407999309056,3.8058825122211966,3.8069597128035633,3.8098096935160375,3.812646180720352,3.8192011812720827,3.8201762068920626,3.822101856732113,3.8221160930619353,3.8238204426921296,3.824637985181377
