,vc,bridge,knn,vip_col1,vip_col2,vip_col3,vip_col4,vip_col5,vip_col6,vip_col7,vip_col8,vip_col9,vip_col10,vip_col11,vip_col12,vip_col13,vip_col14,vip_col15,vip_col16,vip_col17,vip_col18,vip_col19,vip_col20,vip_col21,vip_col22,vip_col23,vip_col24,vip_col25,vip_col26,vip_col27,vip_col28,vip_col29,vip_col30,vip_col31,vip_col32,vip_col33,vip_col34,vip_col35,vip_col36,vip_col37,vip_col38,vip_col39,vip_col40,vip_col41,vip_col42,vip_col43,vip_col44,vip_col45,vip_col46,vip_col47,vip_col48,vip_col49,vip_col50
eta,0.0,0.0,0.0,0.0,2.0408163265306123,4.081632653061225,6.122448979591837,8.16326530612245,10.204081632653061,12.244897959183675,14.285714285714286,16.3265306122449,18.367346938775512,20.408163265306122,22.448979591836736,24.48979591836735,26.53061224489796,28.571428571428573,30.612244897959183,32.6530612244898,34.69387755102041,36.734693877551024,38.775510204081634,40.816326530612244,42.85714285714286,44.89795918367347,46.93877551020408,48.9795918367347,51.02040816326531,53.06122448979592,55.10204081632653,57.142857142857146,59.183673469387756,61.224489795918366,63.26530612244898,65.3061224489796,67.34693877551021,69.38775510204081,71.42857142857143,73.46938775510205,75.51020408163265,77.55102040816327,79.59183673469389,81.63265306122449,83.6734693877551,85.71428571428572,87.75510204081633,89.79591836734694,91.83673469387756,93.87755102040816,95.91836734693878,97.9591836734694,100.0
SIM0,1.9200000000000004,0.7457009574691724,1.476631094365297,0.7980955076252708,0.9569681489660784,1.1919428580301643,1.3926616512520464,1.4560220068186136,1.523979522158884,1.5636692963047438,1.6376805880138827,1.6483464020831597,1.7055519197928606,1.7348347223559413,1.7522759739005438,1.7597892677671583,1.7757244507714738,1.7876912153881515,1.7940366520288056,1.8558601710528735,1.8662353670817595,1.8703352299113831,1.8900821891869533,1.902997366678852,1.9102249229602155,1.913238752790373,1.919026755232724,1.9199308584453931,1.9215941370837522,1.9242663912761737,1.9252825921262353,1.9299820058851167,1.9418354965478497,1.9422772325808029,1.9494807375254153,1.9503744386048945,1.9538993016920874,1.9557212938134687,1.960549121585802,1.9642775110541295,1.9643363503869133,1.9651396930247664,1.9651396930247664,1.9740266397728314,1.9740266397728314,1.9740266397728314,1.9758705197514617,1.9786164747791943,1.9845816189111076,1.9846349381294375,1.9857508546640272,1.9857508546640272,1.986268655479147
SIM1,1.9200000000000004,0.6806324291109631,0.9725357057879958,0.73785038421968,0.8800873764611614,1.0161028222009256,1.1551560747513594,1.237740244161594,1.3121162993779867,1.3462910770982592,1.3847933514732504,1.4669632480424195,1.4816831951520846,1.4922726081685802,1.5361590000729874,1.5503521291204256,1.5542742416123658,1.5599245048507595,1.5628776453724076,1.5761514784614734,1.5799931232031306,1.6064779552113706,1.6205487586233007,1.6282267688870669,1.6302103258811929,1.6314615012221942,1.6334733774367924,1.6341300480495866,1.6389499204594669,1.6586914318211767,1.6586914318211767,1.6596818565329,1.6649105847491636,1.6730643085961225,1.6732624708581367,1.6905600924955284,1.6924680325034973,1.694284675015319,1.7027576719372604,1.7047335457789605,1.7049980290851328,1.7062124845077384,1.7062124845077384,1.7107313383120568,1.7116721697240618,1.7116721697240618,1.7116721697240618,1.7151801051912332,1.7152594330464384,1.7180754402565093,1.7180754402565093,1.7180754402565093,1.7215681299819054
SIM2,1.9200000000000004,0.7074526174273811,1.5142270512377098,0.7861333405223317,0.9848790966233397,1.1926782333684736,1.4283368472786018,1.5651441466837777,1.6104982469030573,1.6740207467248467,1.7016774781047452,1.757058974029921,1.7809350080626924,1.7957383954087291,1.8647268667509698,1.8711130451935827,1.881005454545503,1.8981559906310355,1.9164830501004977,1.9213502598464762,1.925296767118245,1.9331909397527132,1.9450839827595758,1.9453508263644417,1.9625908011621895,1.962653466410793,1.9684769428903837,1.9996923187617548,1.9996923187617548,2.001957140962807,2.017141415147066,2.020327249108023,2.0233168603600467,2.0244963681094186,2.0256614647944695,2.0289178367051575,2.0299392479746325,2.0323015933359962,2.053119346696494,2.056196691876215,2.060894689661909,2.063520340757192,2.0642966715995748,2.080589654268133,2.082227640023443,2.082227640023443,2.082227640023443,2.082227640023443,2.082227640023443,2.0831704386845327,2.0857101608470714,2.0884094693542687,2.0884094693542687
SIM3,1.9200000000000004,0.8907379808335765,1.660238623425068,0.9293496757419383,1.0679997108810269,1.3047244197819614,1.5360959141838209,1.6935833562413034,1.738061201620124,1.806098319180389,1.8283570219397314,1.9519809757915347,1.9710647527346055,1.979629398649813,1.98613315089351,2.002366700030563,2.0675622892364904,2.069519758142791,2.098216175654399,2.1063745951249215,2.1084541191181474,2.1173802514519524,2.1468490544916574,2.153980954756328,2.1643025328180348,2.188782225008917,2.1895812712031293,2.194014159803254,2.195977047542699,2.2000601110593294,2.200170936149965,2.201065747294357,2.202766546547395,2.2050010460423994,2.2082458727919363,2.215296782627432,2.2184829135561595,2.2184829135561595,2.2185207523695896,2.218589513657714,2.2191787529581193,2.226793902038747,2.23460438654117,2.23460438654117,2.2392576335403507,2.2403739868019796,2.2541942042986047,2.2563651709025647,2.259484176186831,2.2631194011593485,2.2631194011593485,2.264918776519196,2.2653001264041057
SIM4,1.9200000000000004,0.6497545863837533,1.47395010076338,0.6832411568917952,0.8595410172101273,1.101476287198535,1.2921711859474898,1.3656105007004746,1.4424296040735298,1.4820749370855892,1.5561519802412211,1.574301895641698,1.6078289670517572,1.6172880268098402,1.6336480784636145,1.703317772614402,1.7078516392291774,1.7177422370834756,1.7254977720215185,1.7363579211952473,1.7552671616977042,1.7593598905428263,1.7707827553638946,1.791051801645594,1.7966607546881281,1.8016557105961497,1.8030680601923454,1.8034290115206664,1.8074096651107359,1.8132538339422177,1.8295536468046285,1.8477035691365258,1.8528016609169202,1.8539931964042844,1.8562331352573145,1.8697177119032327,1.898013983069515,1.9017631365755825,1.9018252319789262,1.9031863012075072,1.9031863012075072,1.9122985745145125,1.9149294568466042,1.919013373687918,1.9192949331718603,1.9195808693853913,1.9249876213256192,1.925652071600986,1.9307858049225477,1.932666727082185,1.933006309260934,1.9337541747118219,1.934185205076089
SIM5,1.9200000000000004,0.5510274094922627,1.2361262037118894,0.6331028588730967,0.7983790845659466,1.0367807701313079,1.1741092013888772,1.4177425654397653,1.487298974478412,1.4987948999918668,1.5746823527459386,1.5957416804842814,1.6292400759028274,1.6344123416983398,1.635537861324463,1.6738303213242405,1.686185231281607,1.6868096125068621,1.6960403557972252,1.712022118789051,1.7145012124391612,1.72667233920805,1.729758306385876,1.749463071161391,1.7529540238283918,1.7535482103614195,1.7646133674399884,1.7646472826400352,1.7676010691099249,1.770225060571198,1.774819744454735,1.7785050564863623,1.7831110885836352,1.783825531167182,1.7895243920068964,1.795258614919086,1.7966740035414706,1.809638305179102,1.8321176421526133,1.8323431579313525,1.8378184298893747,1.8392379162385746,1.8392379162385746,1.84843803694035,1.84843803694035,1.8568579823389781,1.8669558220885016,1.8675527228304507,1.8675527228304507,1.87076810409728,1.8708742320992078,1.8723695922131018,1.8723695922131018
SIM6,1.9200000000000004,0.7995555757299498,1.2406582435309594,0.8760148827572314,1.0142619021718342,1.1786549545763483,1.2928765350611058,1.3686727085257235,1.440697491493822,1.4981995430443473,1.523704244049416,1.557259987886427,1.571375619188384,1.6158062941620153,1.625994102302296,1.626805111793617,1.629373889953146,1.6357738625122704,1.642155781673759,1.6591146456769112,1.6619617751040001,1.6643400526673167,1.6698431568368335,1.6800611242864159,1.7475554462727563,1.7483803457634888,1.7557183893133494,1.757017855958713,1.759972077395904,1.760929899775198,1.7642886656930785,1.7648608940799964,1.764921180437565,1.7650011379516224,1.7657888251097822,1.7658406160940696,1.766256555153288,1.7672417069001691,1.7672446180699737,1.7692599132920501,1.7692664935784683,1.7738054030672643,1.7770218272627194,1.7774604815743824,1.7785693663472606,1.779610565621796,1.8000414229168906,1.802920440045112,1.8055692953534839,1.8066801738305776,1.8066801738305776,1.8072407896543443,1.8093611685444757
SIM7,1.9200000000000004,0.6605583882197777,1.2453011505362905,0.722489751284694,0.8805372172229113,1.0485519013862408,1.2767341548850812,1.3125991678789741,1.4037263196072056,1.4811298289301391,1.4998900454409851,1.5140750220992796,1.5634214825254145,1.5766492463383228,1.6075084180586465,1.6152802522894747,1.6198737269460965,1.6327826015518951,1.6509432000294195,1.6535401116155342,1.6587308607499984,1.6591874558829125,1.6617904731812865,1.6720944382780474,1.6831299845734498,1.6959031726762333,1.6960011706421887,1.7148749223464772,1.715843727338515,1.7159015260595412,1.7242826399527444,1.7251339107015071,1.7253814432658263,1.730573477731067,1.7338529989345124,1.734761037543504,1.741473018465997,1.7468827482786835,1.7480102672365667,1.7488053051946704,1.7597133226018111,1.7597133226018111,1.7609081007854839,1.7689552387695318,1.7731081520045697,1.7731924261402245,1.7749987162937317,1.779289422816605,1.7797368038226933,1.7819203640487589,1.786568502106124,1.7872368820919218,1.7875252952695773
SIM8,1.9200000000000004,0.8281424742152713,1.960922005295885,0.8870578544386627,1.107002371473608,1.3541467019515234,1.5626838697929135,1.7131548211260075,1.8479769363198928,1.9029118029178231,1.9450285655847421,2.0188150790328767,2.085569341334207,2.093770480665391,2.1154573982220515,2.124043732873899,2.1735960413866837,2.176042572748898,2.181507324587307,2.1868712850418857,2.207333354168153,2.2199892184935943,2.229577701068537,2.2573379827922926,2.2656228746626477,2.2699537958700304,2.2733261982892756,2.284968662575351,2.2850120694756395,2.285185906002135,2.2869153227985737,2.286997806996818,2.288281043848697,2.318767451909388,2.334317210266369,2.334317210266369,2.334317210266369,2.3530312549861834,2.3530312549861834,2.3531087761485208,2.353877057863707,2.3589551864238323,2.3623582094438698,2.367125087023785,2.368369780910317,2.36861193127688,2.3719770432709697,2.377163539791239,2.3803341043117303,2.380945004992394,2.3813955697137805,2.381459989207863,2.381459989207863
